name,price,rr
"realme C30 (Lake Blue, 32 GB)","₹6,499","47,755 Ratings & 3,011 Reviews"
"MOTOROLA g13 (Lavender Blue, 128 GB)","₹9,999","7,005 Ratings & 730 Reviews"
"REDMI 10 (Caribbean Green, 128 GB)","₹10,999","29,986 Ratings & 2,080 Reviews"
"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹15,999","18,540 Ratings & 1,442 Reviews"
"realme C30 (Bamboo Green, 32 GB)","₹6,499","47,755 Ratings & 3,011 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Lake Blue, 32 GB)","₹5,549","99,924 Ratings & 5,366 Reviews"
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)","₹11,999","1,40,457 Ratings & 8,090 Reviews"
"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹15,999","18,540 Ratings & 1,442 Reviews"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹13,490","2,328 Ratings & 207 Reviews"
"POCO X5 5G (Jaguar Black, 128 GB)","₹15,999","1,888 Ratings & 156 Reviews"
"REDMI 11 Prime (Playful Green, 64 GB)","₹10,999",229 Ratings & 17 Reviews
"POCO M5 (Yellow, 64 GB)","₹9,749","3,751 Ratings & 279 Reviews"
"MOTOROLA e13 (Creamy White, 64 GB)","₹7,499","14,275 Ratings & 1,251 Reviews"
"POCO M4 Pro 5G (Yellow, 128 GB)","₹15,999","18,540 Ratings & 1,442 Reviews"
"MOTOROLA g13 (Lavender Blue, 128 GB)","₹9,999","7,005 Ratings & 730 Reviews"
"realme C35 (Glowing Black, 64 GB)","₹10,999","1,82,031 Ratings & 10,208 Reviews"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹16,499","10,775 Ratings & 987 Reviews"
"realme GT Neo 3T (Dash Yellow, 128 GB)","₹19,999","13,829 Ratings & 1,573 Reviews"
"realme GT Neo 3T (Drifting White, 256 GB)","₹21,999","8,845 Ratings & 952 Reviews"
"realme C11 2021 (Cool Blue, 64 GB)","₹7,499","2,08,910 Ratings & 11,288 Reviews"
"realme GT Neo 3T (Shade Black, 128 GB)","₹19,999","13,829 Ratings & 1,573 Reviews"
"realme C21 (Cross Blue, 64 GB)","₹8,999","1,47,963 Ratings & 7,113 Reviews"
"MOTOROLA g13 (Matte Charcoal, 128 GB)","₹9,999","7,005 Ratings & 730 Reviews"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹15,499","26,093 Ratings & 2,415 Reviews"
"realme C30 (Bamboo Green, 32 GB)","₹5,999","99,924 Ratings & 5,366 Reviews"
"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999","4,614 Ratings & 176 Reviews"
"REDMI A1 (Light Blue, 32 GB)","₹6,231","6,445 Ratings & 322 Reviews"
"realme GT Neo 3T (Shade Black, 256 GB)","₹21,999","8,845 Ratings & 952 Reviews"
"realme C35 (Glowing Green, 64 GB)","₹10,999","1,82,031 Ratings & 10,208 Reviews"
"realme C35 (Glowing Black, 128 GB)","₹11,999","1,82,031 Ratings & 10,208 Reviews"
"MOTOROLA g52 (Metallic White, 128 GB)","₹12,999","36,340 Ratings & 4,079 Reviews"
"REDMI 10 (Sunrise Orange, 64 GB)","₹9,499","2,18,444 Ratings & 13,620 Reviews"
"MOTOROLA e32 (Eco Black, 64 GB)","₹8,499","2,239 Ratings & 185 Reviews"
"realme C33 2023 (Aqua Blue, 128 GB)","₹10,499","3,342 Ratings & 103 Reviews"
"POCO M4 Pro (Yellow, 64 GB)","₹11,999","1,67,339 Ratings & 14,771 Reviews"
"POCO C50 (Royal Blue, 32 GB)","₹6,499","7,209 Ratings & 459 Reviews"
SAMSUNG Guru Music 2,"₹2,090","2,03,042 Ratings & 18,664 Reviews"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹13,490","2,328 Ratings & 207 Reviews"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹14,490","4,167 Ratings & 369 Reviews"
GFive U707,₹749,"11,710 Ratings & 1,085 Reviews"
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹8,072","1,399 Ratings & 92 Reviews"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹13,490","2,328 Ratings & 207 Reviews"
"POCO X5 5G (Supernova Green, 256 GB)","₹17,999","1,015 Ratings & 75 Reviews"
"realme C35 (Glowing Black, 128 GB)","₹12,999","16,365 Ratings & 993 Reviews"
"REDMI A1 (Black, 32 GB)","₹6,254","6,445 Ratings & 322 Reviews"
MarQ by Flipkart M70 Shakti,₹999,"3,754 Ratings & 462 Reviews"
Micromax J22,"₹1,139",668 Ratings & 45 Reviews
Micromax J22,"₹1,134",668 Ratings & 45 Reviews
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹16,499","10,775 Ratings & 987 Reviews"
"REDMI 11 Prime (Peppy Purple, 64 GB)","₹10,999",229 Ratings & 17 Reviews
Nokia 150 DS 2020,"₹2,571","22,478 Ratings & 1,727 Reviews"
SAMSUNG Guru Music 2,"₹2,160","2,03,042 Ratings & 18,664 Reviews"
"OPPO A17k (Gold, 64 GB)","₹9,499","3,548 Ratings & 97 Reviews"
"realme 9 5G SE (Azure Glow, 128 GB)","₹18,999","3,095 Ratings & 266 Reviews"
itel MagicX Pro (4G Hotspot),"₹2,699",957 Ratings & 128 Reviews
Nokia 150 DS 2020,"₹2,571","22,478 Ratings & 1,727 Reviews"
Cellecor E3,"₹1,061",53 Ratings & 2 Reviews
"realme 9 5G SE (Azure Glow, 128 GB)","₹19,999","27,936 Ratings & 2,308 Reviews"
"realme 8 5G (Supersonic Blue, 128 GB)","₹13,999","76,449 Ratings & 6,034 Reviews"
Micromax J22,"₹1,134",668 Ratings & 45 Reviews
"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹19,999","10,516 Ratings & 772 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)","₹5,549","99,924 Ratings & 5,366 Reviews"
"realme 10 Pro 5G (Hyperspace, 128 GB)","₹18,999","17,021 Ratings & 1,279 Reviews"
"POCO C55 (Forest Green, 64 GB)","₹7,999","10,287 Ratings & 527 Reviews"
"realme C33 2023 (Sandy Gold, 128 GB)","₹10,499","3,342 Ratings & 103 Reviews"
"REDMI A1+ (Black, 32 GB)","₹7,499",703 Ratings & 43 Reviews
Micromax X415,₹989,"1,315 Ratings & 86 Reviews"
"realme 10 Pro 5G (Dark Matter, 128 GB)","₹18,999","17,021 Ratings & 1,279 Reviews"
"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹18,999","17,021 Ratings & 1,279 Reviews"
"realme 8 (Punk Black, 128 GB)","₹12,999","1,22,656 Ratings & 10,720 Reviews"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹13,490","2,328 Ratings & 207 Reviews"
"POCO M4 5G (Yellow, 128 GB)","₹13,999","35,379 Ratings & 2,604 Reviews"
"Google Pixel 6a (Charcoal, 128 GB)","₹27,999","38,519 Ratings & 4,713 Reviews"
"Google Pixel 6a (Chalk, 128 GB)","₹27,999","38,519 Ratings & 4,713 Reviews"
Kechaoda K112,"₹1,510","21,001 Ratings & 2,182 Reviews"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹14,490","4,167 Ratings & 369 Reviews"
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹79,999","9,247 Ratings & 570 Reviews"
"Infinix NOTE 12i (Alpine White, 64 GB)","₹9,999","4,327 Ratings & 477 Reviews"
"vivo T2 5G (Velocity Wave, 128 GB)","₹18,999","7,758 Ratings & 354 Reviews"
"realme GT Neo 3T (Drifting White, 256 GB)","₹21,999","8,845 Ratings & 952 Reviews"
Cellecor E3,"₹1,061",53 Ratings & 2 Reviews
"realme GT Neo 3T (Shade Black, 128 GB)","₹19,999","13,829 Ratings & 1,573 Reviews"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹13,490","2,328 Ratings & 207 Reviews"
"vivo T2 5G (Nitro Blaze, 128 GB)","₹18,999","7,758 Ratings & 354 Reviews"
"vivo T2 5G (Nitro Blaze, 128 GB)","₹20,999","1,234 Ratings & 68 Reviews"
"realme C30s (Stripe Black, 32 GB)","₹6,999","5,360 Ratings & 187 Reviews"
LAVA GEM,"₹1,659","30,530 Ratings & 3,238 Reviews"
"POCO M5 (Power Black, 128 GB)","₹11,749","2,255 Ratings & 143 Reviews"
"vivo T2 5G (Velocity Wave, 128 GB)","₹20,999","1,234 Ratings & 68 Reviews"
SAMSUNG Guru Music 2,"₹2,149","2,03,042 Ratings & 18,664 Reviews"
"realme C33 2023 (Night Sea, 128 GB)","₹10,499","3,342 Ratings & 103 Reviews"
"APPLE iPhone 13 (Green, 128 GB)","₹64,999","2,06,187 Ratings & 11,064 Reviews"
"realme C21 (Cross Blue, 64 GB)","₹8,999","1,47,963 Ratings & 7,113 Reviews"
"realme 10 Pro 5G (Hyperspace, 128 GB)","₹19,999","10,516 Ratings & 772 Reviews"
"Infinix NOTE 12i (Metaverse Blue, 64 GB)","₹9,999","4,327 Ratings & 477 Reviews"
"POCO M5 (Yellow, 64 GB)","₹9,749","3,751 Ratings & 279 Reviews"
"realme 10 Pro 5G (Dark Matter, 128 GB)","₹19,999","10,516 Ratings & 772 Reviews"
"realme 9 5G SE (Starry Glow, 128 GB)","₹19,999","27,936 Ratings & 2,308 Reviews"
"realme GT Neo 3T (Dash Yellow, 128 GB)","₹19,999","13,829 Ratings & 1,573 Reviews"
"REDMI 11 Prime (Flashy Black, 64 GB)","₹10,999",229 Ratings & 17 Reviews
"Infinix Hot 12 (Exploratory Blue, 64 GB)","₹8,999","25,339 Ratings & 1,739 Reviews"
"OPPO A17 (Lake Blue, 64 GB)","₹12,499","4,782 Ratings & 187 Reviews"
"APPLE iPhone 13 (Midnight, 128 GB)","₹64,999","2,06,187 Ratings & 11,064 Reviews"
"POCO X5 Pro 5G (Horizon Blue, 256 GB)","₹24,999","5,010 Ratings & 557 Reviews"
Cellecor E3,"₹1,061",53 Ratings & 2 Reviews
Nokia 150 DS 2020,"₹2,571","22,478 Ratings & 1,727 Reviews"
"Infinix Hot 12 (Turquoise Cyan, 64 GB)","₹8,999","25,339 Ratings & 1,739 Reviews"
itel It2171,₹999,"5,052 Ratings & 411 Reviews"
"Infinix Hot 12 (Polar Black, 64 GB)","₹8,999","25,339 Ratings & 1,739 Reviews"
GFive U873,₹749,"9,213 Ratings & 788 Reviews"
