name,price,rr,brand,orignal_price,discount
Women Solid Jacket,"₹1,583",,HERE&NOW,"₹3,599",56% off
Men Solid Sports Jacket,"₹2,418",,WROGN,"₹4,099",41% off
Men Solid Casual Jacket,"₹4,899",,ADIDAS,"₹6,999",30% off
Men Solid Padded Jacket,"₹1,049",,Roadster,"₹3,599",70% off
Men Printed Quilted Jacket,"₹1,079",,FLYING MACHINE,"₹3,599",70% off
Men Solid Quilted Jacket,"₹1,154",,HIGHLANDER,"₹3,299",65% off
Women Dyed/Ombre Casual Jacket,₹610,,UZARUS,"₹1,999",69% off
Men Solid Bomber Jacket,"₹3,219",,WROGN,"₹4,599",30% off
Men Printed Bomber Jacket,"₹4,137",,U.S. POLO ASSN.,"₹6,999",40% off
Men Solid Jacket,₹749,,MONTREZ,"₹2,499",70% off
Men Solid Biker/Riding Jacket,"₹2,949",,WROGN,"₹4,999",41% off
Men Solid Bomber Jacket,"₹3,219",,WROGN,"₹4,599",30% off
Women Solid Casual Jacket,₹664,,Roadster,"₹1,999",66% off
Women Washed Denim Jacket,₹327,,richapparel,"₹1,499",78% off
Women Solid Denim Jacket,₹307,,SAF creations,₹999,69% off
Women Solid Denim Jacket,₹899,,SASSAFRAS,"₹1,999",55% off
Men Textured Leather Jacket,"₹2,943",,WROGN,"₹4,599",36% off
Men Solid Bomber Jacket,"₹2,831",,WROGN,"₹4,799",41% off
Men Solid Casual Jacket,"₹1,329",,Billion,"₹3,499",62% off
Men Printed Nehru Jacket,₹799,,Crazy Fashion Creation,"₹1,299",38% off
Men Solid Jacket,"₹2,241",,WROGN,"₹3,799",41% off
Men Solid Bomber Jacket,"₹2,949",,WROGN,"₹4,999",41% off
Men Solid Sports Jacket,₹458,,GLITO,₹999,54% off
Men Solid Sports Jacket,₹728,,HRX by Hrithik Roshan,"₹2,599",71% off
Men Solid Casual Jacket,₹399,,FastColors,"₹1,999",80% off
Men Solid Bomber Jacket,"₹1,839",,Roadster,"₹4,599",60% off
Men Solid Padded Jacket,"₹1,325",,INVICTUS,"₹3,899",66% off
Men Printed Bomber Jacket,"₹2,713",,WROGN,"₹4,599",41% off
Women Solid Denim Jacket,₹309,,Trendss Club,₹999,69% off
Women Solid Padded Jacket,"₹1,299",,Roadster,"₹3,499",62% off
Women Solid Denim Jacket,₹799,,FUNDAY FASHION,"₹1,699",52% off
Men Colorblock Casual Jacket,₹789,,Urbano Fashion,"₹1,899",58% off
