name,price,rr,brand,orignal_price,discount
150 L Backpack Multipurpose Large Big Heavy Duty Storag...,₹239,,A G Enterprises,₹599,60% off
Medium 25 L Backpack 25ltr Laptop Backpack Spacy unisex...,₹599,,parjuar,"₹1,499",60% off
Large 35 L Laptop Backpack Medium 35 L Backpack Premium...,₹382,,zikrefast,"₹2,499",84% off
Medium 28 L Backpack BFF,₹728,,SKYBAGS,"₹1,699",57% off
Large 45 L Laptop Backpack ackpack laptop travel bags s...,₹419,,SKY RISE,"₹1,699",75% off
Medium 26 L Backpack JERSEY 26L BLUE BACKPACK,₹609,,SAFARI,"₹1,699",64% off
37.5 L Laptop Backpack Spacy Unisex Bag with rain cover...,₹782,,WROGN,"₹3,999",80% off
Small 12 L Backpack Step Out 12 liters Water Repellent ...,₹419,,Mi,₹499,16% off
Medium 27 L Backpack Fuse 27L Backpack Black,₹899,,SKYBAGS,"₹2,000",55% off
Medium 25 L Laptop Backpack for Office/College/School/T...,₹431,,TRAVEL POINT,"₹2,999",85% off
Large 37 L Backpack Heritage - 3 Compartment Casual Tra...,₹799,,Lunar,"₹1,699",52% off
Large 35 L Backpack DRIP 08 BLACK SCHOOL BACKPACK,"₹1,349",,SKYBAGS,"₹2,100",35% off
Small 18 L Backpack Small Backpack Small Size Bag for D...,₹249,,RB Suffer,₹899,72% off
Small 10 L Backpack RAGER 10L DAYPACK RED,₹469,,SKYBAGS,"₹1,120",58% off
Medium 28 L Backpack DRIFT BACKPACK (E) BLUE,₹949,,ARISTOCRAT,"₹2,600",63% off
Medium 24 L Backpack Campus 8 Backpack,₹634,,Gear,"₹1,299",51% off
Medium 25 L Backpack DAYPACK Bags Backpack for daily us...,₹299,,PROVOGUE,₹899,66% off
Medium 25 L Laptop Backpack Ultra Lightweight,₹369,,BRIVER,"₹1,199",69% off
Medium 30 L Laptop Backpack Medium 30 L Laptop Backpack...,₹649,,GIFFTY,"₹1,999",67% off
Large 34 L Backpack One Spacious Unisex Multpurpose bag...,₹979,,PUMA,"₹2,699",63% off
Small 18 L Backpack Small Backpack Small Size Bag for D...,₹269,,RB Suffer,₹899,70% off
Medium 23 L Backpack Boho 01 With Raincover,"₹1,699",,SKYBAGS,"₹2,800",39% off
Medium 23 L Laptop Backpack Medium Daypack,₹484,,Roadster,"₹1,499",67% off
Large 32 L Backpack Chase 03,"₹1,196",,SKYBAGS,"₹3,600",66% off
Large 40 L Backpack Colossal,"₹1,369",,Wildcraft,"₹3,099",55% off
Large 35 L Backpack 35L spacy bagpack 4th to 10th class...,₹599,,xfast,"₹1,899",68% off
Small 12 L Backpack DAYPACK Drawstring Backpack Bag Dor...,₹234,,PROVOGUE,₹699,66% off
Small 16 L Backpack SUPERIOR BACKPACK,₹395,,Gear,₹899,56% off
18.5 L Backpack Echo Plus,₹899,,PUMA,"₹1,199",25% off
Large 35 L Backpack Comet,₹849,,Lunar,"₹1,699",50% off
Medium 22 L Backpack Create Bp,"₹1,099",,REEBOK,"₹1,299",15% off
Large 34 L Backpack One Spacious Unisex Multpurpose bag...,₹999,,PUMA,"₹2,699",62% off
Medium 27 L Backpack Bounce Backpack,₹634,,Gear,"₹1,799",64% off
Small 12 L Backpack Amari Web Marine Black,₹719,,F GEAR,"₹1,198",39% off
Large 35 L Backpack Polyester 35L Drip Nxt 02 Backpack ...,"₹1,680",,SKYBAGS,"₹2,500",32% off
2.5 L Backpack Plain,₹349,,BEWAKOOF,₹499,30% off
Medium 23 L Backpack Plus Backpack II,₹899,,PUMA,"₹1,465",38% off
23.5 L Backpack FIND,₹799,,SAFARI,"₹1,958",59% off
Medium 25 L Backpack SMALL 25 L DAYPACK BAGPACK FOR DAI...,₹291,,PLEXY,"₹1,599",81% off
Large 33 L Backpack Raider,"₹1,695",,SKYBAGS,"₹2,499",32% off
Medium 25 L Laptop Backpack 25L DAYPACK FOR DAILY TRAVE...,₹299,,Goldstar,"₹1,499",80% off
Medium 25 L Backpack 25ltr Laptop Backpack Spacy unisex...,₹599,,parjuar,"₹1,499",60% off
18.5 L Backpack 7566301,₹899,,PUMA,"₹1,487",39% off
Medium 22 L Backpack Pioneer,₹899,,PUMA,"₹1,199",25% off
Small 10 L Backpack stylish backpack football bag for b...,₹364,,RIGHT CHOICE,"₹1,999",81% off
Medium 26 L Backpack JERSEY 26L BLUE BACKPACK,₹609,,SAFARI,"₹1,699",64% off
Medium 27 L Backpack Fuse 27L Backpack Magnet,₹838,,SKYBAGS,"₹2,000",58% off
Large 31 L Backpack POPIN CASUAL BACKPACK 01 -TEAL,"₹1,249",,AMERICAN TOURISTER,"₹2,590",51% off
Small 20 L Backpack SMALL 20 L DAYPACK BAGPACK FOR DAIL...,₹286,,PLEXY,"₹1,499",80% off
Medium 25 L Laptop Backpack for Office/College/School/T...,₹431,,TRAVEL POINT,"₹2,999",85% off
Large 50 L Backpack Backpack large 50L for Outdoor Spor...,₹498,,sky spirit,"₹2,459",79% off
Large 35 L Laptop Backpack Premium Quality School/Casua...,₹382,,zikrefast,"₹2,499",84% off
Large 35 L Backpack Zest 01,₹919,,ARISTOCRAT,"₹1,850",50% off
Small 10 L Backpack RAGER 10L DAYPACK RED,₹469,,SKYBAGS,"₹1,120",58% off
Large 45 L Laptop Backpack Large 45L Backpack spacy uni...,₹621,,STATUS,"₹3,999",84% off
Medium 24 L Backpack Waterproof DAYPACK Bags Office Bag...,₹494,,GOOD FRIENDS,"₹1,799",72% off
Large 37 L Backpack Heritage - 3 Compartment Casual Tra...,₹799,,Lunar,"₹1,699",52% off
Small 17 L Backpack LIT 17L DAYPACK BLUE,₹699,,SKYBAGS,"₹1,298",46% off
Small 18 L Backpack Dynamic Backpack,₹899,,HP,"₹1,499",40% off
Large 34 L Backpack One Spacious Unisex Multpurpose bag...,₹949,,PUMA,"₹2,699",64% off
Medium 25 L Backpack 25L CASUAL DAYPACK FOR DAILY USES,₹279,,Goldstar,"₹1,499",81% off
Medium 25 L Laptop Backpack Ultra Lightweight,₹369,,BRIVER,"₹1,199",69% off
Medium 28 L Backpack BOUNCE CASUAL,"₹1,199",,AMERICAN TOURISTER,"₹2,180",45% off
Small 10 L Backpack Stylish look Geniouse bag for schoo...,₹359,,RIGHT CHOICE,"₹1,999",82% off
Medium 22 L Backpack 22L Backpack Casual Bag SkyTourist...,₹278,,Fast Fashion,"₹1,999",86% off
Medium 23 L Backpack Boho 01 With Raincover,"₹1,699",,SKYBAGS,"₹2,800",39% off
Medium 25 L Backpack SMALL 25 L DAYPACK BAGPACK FOR DAI...,₹291,,PLEXY,"₹1,499",80% off
Medium 25 L Backpack SMALL 25 L DAYPACK BAGPACK FOR DAI...,₹289,,PLEXY,"₹1,499",80% off
Large 35 L Backpack Polyester 35L Drip Nxt 03 Backpack ...,"₹1,675",,SKYBAGS,"₹2,500",33% off
Large 35 L Backpack 35L spacy bagpack 4th to 10th class...,₹599,,xfast,"₹1,899",68% off
Medium 25 L Backpack UNISEX,₹399,,Safwan,"₹1,199",66% off
Medium 30 L Backpack laptop Bag||College Bag||BACKPACK|...,₹381,,HP,"₹1,108",65% off
Large 35 L Laptop Backpack simna.1378 large 35 L airpor...,₹684,,Flycraft,"₹2,999",77% off
Small 12 L Backpack Amari Web Marine Black,₹719,,F GEAR,"₹1,198",39% off
Medium 25 L Laptop Backpack 25L DAYPACK FOR DAILY TRAVE...,₹299,,Goldstar,"₹1,499",80% off
Large 45 L Laptop Backpack 45 Liters Waterproof Unisex ...,₹499,,ZEELEX,"₹2,199",77% off
Small 18 L Backpack Dynamic Backpack,₹899,,HP,"₹1,499",40% off
23.5 L Backpack FIND,₹799,,SAFARI,"₹1,958",59% off
Medium 28 L Backpack BOUNCE CASUAL,₹789,,AMERICAN TOURISTER,"₹2,180",63% off
Large 36 L Backpack Bingo Plus 01,"₹1,352",,SKYBAGS,"₹1,998",32% off
Large 33 L Laptop Backpack 33L Laptop Backpack Spacy un...,₹349,,PLEXY,"₹1,999",82% off
Medium 25 L Backpack 25ltr Laptop Backpack Spacy unisex...,₹599,,parjuar,"₹1,499",60% off
Large 45 L Backpack FASHION BAG FOR BACKPACK & HIKING M...,₹649,,EZETECH,"₹1,649",60% off
37.5 L Laptop Backpack Spacy Unisex Bag with rain cover...,₹782,,WROGN,"₹3,999",80% off
26.5 L Backpack Hs Ridge Backpack Nl 02 - Blk,₹579,,High Sierra by American Tourister,"₹1,598",63% off
Medium 26 L Backpack JERSEY 26L BLUE BACKPACK,₹609,,SAFARI,"₹1,699",64% off
Small 20 L Backpack SMALL 20 L DAYPACK BAGPACK FOR DAIL...,₹286,,PLEXY,"₹1,499",80% off
Large 35 L Backpack Waterproof Laptop Bag/Backpack for ...,₹765,,NorthZone,"₹1,999",61% off
17.2159 L Backpack Zeal,₹979,,Wildcraft,"₹1,799",45% off
Medium 25 L Laptop Backpack for Office/College/School/T...,₹431,,TRAVEL POINT,"₹2,999",85% off
Medium 25 L Backpack Large Capacity Waterproof Foldable...,₹475,,KINDRED,₹999,52% off
Medium 25 L Backpack DAYPACK Bags Backpack 25L Provogue...,₹272,,familiar,₹999,72% off
Medium 30 L Backpack Seek,"₹1,069",,Wildcraft,"₹2,299",53% off
Small 10 L Backpack RAGER 10L DAYPACK RED,₹469,,SKYBAGS,"₹1,120",58% off
Large 100 L Backpack 100 liters Black New Launch Most P...,"₹1,459",,Ultrafine,"₹3,949",63% off
Large 35 L Backpack Bags For Men & Women | School Backp...,₹509,,Life Today,"₹1,599",68% off
Large 44 L Backpack Wildcraft 44 Ltrs Casual Backpack (...,"₹1,392",,Arrpee,"₹2,000",30% off
Medium 25 L Laptop Backpack Ultra Lightweight,₹369,,BRIVER,"₹1,199",69% off
Medium 25 L Backpack DAYPACK Bags Backpack 25L Provogue...,₹272,,familiar,₹999,72% off
Medium 22 L Backpack HS BROOKS BACKPACK NL 01 - BLK,₹479,,High Sierra by American Tourister,"₹1,198",60% off
Small 15 L Backpack DAYPACK 15 CB CHERRY RED,₹346,,SAFARI,₹799,56% off
Small 17 L Backpack LIT 17L DAYPACK BLUE,₹699,,SKYBAGS,"₹1,298",46% off
